Time Serie,,,EU/US,change %,c change %,,,UK/US,change %,c change %,,,INDIA/US,change %,c change %,,,SRLNK/US,change %,c change %
1/3/00,,,0.9847,,,,,0.6146,,,,,43.55,,,,,72.3,,
1/4/00,,,0.97,-1.49%,-1.493%,,,0.6109,-0.60%,-0.602%,,,43.55,0.000%,0.000%,,,72.65,0.48%,0.484%
1/5/00,,,0.9676,-0.25%,-1.740%,,,0.6092,-0.28%,-0.880%,,,43.55,0.000%,0.000%,,,72.95,0.41%,0.897%
1/6/00,,,0.9686,0.10%,-1.637%,,,0.607,-0.36%,-1.241%,,,43.55,0.000%,0.000%,,,72.95,0.00%,0.897%
1/7/00,,,0.9714,0.29%,-1.348%,,,0.6104,0.56%,-0.681%,,,43.55,0.000%,0.000%,,,73.15,0.27%,1.171%
1/10/00,,,0.9754,0.41%,-0.936%,,,0.6107,0.05%,-0.632%,,,43.55,0.000%,0.000%,,,73.3,0.21%,1.376%
1/11/00,,,0.9688,-0.68%,-1.613%,,,0.6068,-0.64%,-1.271%,,,43.6,0.115%,0.115%,,,73.35,0.07%,1.444%
1/12/00,,,0.9727,0.40%,-1.210%,,,0.6073,0.08%,-1.188%,,,43.6,0.000%,0.115%,,,73.35,0.00%,1.444%
1/13/00,,,0.9737,0.10%,-1.107%,,,0.6067,-0.10%,-1.287%,,,43.55,-0.115%,0.000%,,,73.35,0.00%,1.444%
1/14/00,,,0.9874,1.41%,0.300%,,,0.6115,0.79%,-0.496%,,,43.55,0.000%,0.000%,,,73.35,0.00%,1.444%
1/18/00,,,0.988,0.06%,0.360%,,,0.6105,-0.16%,-0.660%,,,43.6,0.115%,0.115%,,,72.85,-0.68%,0.763%
1/19/00,,,0.9886,0.06%,0.421%,,,0.6083,-0.36%,-1.020%,,,43.6,0.000%,0.115%,,,73.2,0.48%,1.243%
1/20/00,,,0.9869,-0.17%,0.249%,,,0.6047,-0.59%,-1.612%,,,43.6,0.000%,0.115%,,,72.95,-0.34%,0.902%
1/21/00,,,0.9901,0.32%,0.573%,,,0.6059,0.20%,-1.413%,,,43.6,0.000%,0.115%,,,73.3,0.48%,1.381%
1/24/00,,,0.9981,0.81%,1.381%,,,0.6053,-0.10%,-1.512%,,,43.62,0.046%,0.161%,,,72.95,-0.48%,0.904%
1/25/00,,,0.9959,-0.22%,1.161%,,,0.6067,0.23%,-1.281%,,,43.59,-0.069%,0.092%,,,73.45,0.69%,1.589%
1/26/00,,,0.9989,0.30%,1.462%,,,0.6099,0.53%,-0.754%,,,43.65,0.138%,0.230%,,,73.4,-0.07%,1.521%
1/27/00,,,1.0111,1.22%,2.684%,,,0.6111,0.20%,-0.557%,,,43.63,-0.046%,0.184%,,,73.45,0.07%,1.589%
1/28/00,,,1.0241,1.29%,3.969%,,,0.6169,0.95%,0.392%,,,43.65,0.046%,0.230%,,,73.05,-0.54%,1.045%
1/31/00,,,1.0249,0.08%,4.047%,,,0.618,0.18%,0.571%,,,43.65,0.000%,0.230%,,,73.5,0.62%,1.661%
2/1/00,,,1.0276,0.26%,4.311%,,,0.6192,0.19%,0.765%,,,43.62,-0.069%,0.161%,,,73.55,0.07%,1.729%
2/2/00,,,1.0238,-0.37%,3.941%,,,0.6227,0.57%,1.330%,,,43.65,0.069%,0.230%,,,73.25,-0.41%,1.321%
2/3/00,,,1.0114,-1.21%,2.730%,,,0.624,0.21%,1.539%,,,43.65,0.000%,0.230%,,,73.55,0.41%,1.731%
2/4/00,,,1.0246,1.31%,4.035%,,,0.6283,0.69%,2.228%,,,43.65,0.000%,0.230%,,,73.55,0.00%,1.731%
2/7/00,,,1.0222,-0.23%,3.801%,,,0.6283,0.00%,2.228%,,,43.64,-0.023%,0.207%,,,73.5,-0.07%,1.663%
2/8/00,,,1.014,-0.80%,2.999%,,,0.6209,-1.18%,1.050%,,,43.63,-0.023%,0.184%,,,73.6,0.14%,1.799%
2/9/00,,,1.0087,-0.52%,2.476%,,,0.6205,-0.06%,0.986%,,,43.65,0.046%,0.230%,,,73.6,0.00%,1.799%
2/10/00,,,1.0137,0.50%,2.972%,,,0.6228,0.37%,1.356%,,,43.58,-0.160%,0.069%,,,72.82,-1.06%,0.739%
2/11/00,,,1.0155,0.18%,3.149%,,,0.628,0.83%,2.191%,,,43.65,0.161%,0.230%,,,73.6,1.07%,1.810%
2/14/00,,,1.0222,0.66%,3.809%,,,0.6293,0.21%,2.398%,,,43.65,0.000%,0.230%,,,73.65,0.07%,1.878%
2/15/00,,,1.0169,-0.52%,3.290%,,,0.627,-0.37%,2.033%,,,43.64,-0.023%,0.207%,,,73.75,0.14%,2.014%
2/16/00,,,1.0161,-0.08%,3.212%,,,0.6234,-0.57%,1.459%,,,43.75,0.252%,0.459%,,,73.41,-0.46%,1.553%
2/17/00,,,1.0139,-0.22%,2.995%,,,0.6231,-0.05%,1.411%,,,43.68,-0.160%,0.299%,,,73.65,0.33%,1.880%
2/18/00,,,1.0152,0.13%,3.124%,,,0.6256,0.40%,1.812%,,,43.68,0.000%,0.299%,,,73.36,-0.39%,1.486%
2/22/00,,,0.994,-2.09%,1.035%,,,0.6186,-1.12%,0.693%,,,43.65,-0.069%,0.230%,,,73.6,0.33%,1.813%
2/23/00,,,0.9983,0.43%,1.468%,,,0.6232,0.74%,1.436%,,,43.68,0.069%,0.299%,,,73.6,0.00%,1.813%
2/24/00,,,1.0069,0.86%,2.329%,,,0.6257,0.40%,1.838%,,,43.65,-0.069%,0.231%,,,73.75,0.20%,2.017%
2/25/00,,,1.0243,1.73%,4.057%,,,0.6286,0.46%,2.301%,,,43.65,0.000%,0.231%,,,73.75,0.00%,2.017%
2/28/00,,,1.0342,0.97%,5.024%,,,0.6275,-0.17%,2.126%,,,43.68,0.069%,0.299%,,,73.75,0.00%,2.017%
2/29/00,,,1.037,0.27%,5.295%,,,0.6337,0.99%,3.114%,,,43.65,-0.069%,0.231%,,,73.75,0.00%,2.017%
3/1/00,,,1.0309,-0.59%,4.706%,,,0.631,-0.43%,2.688%,,,43.63,-0.046%,0.185%,,,73.75,0.00%,2.017%
3/2/00,,,1.0396,0.84%,5.550%,,,0.6343,0.52%,3.211%,,,43.65,0.046%,0.231%,,,73.9,0.20%,2.220%
3/3/00,,,1.0397,0.01%,5.560%,,,0.6325,-0.28%,2.927%,,,43.65,0.000%,0.231%,,,73.9,0.00%,2.220%
3/6/00,,,1.0413,0.15%,5.714%,,,0.6356,0.49%,3.417%,,,43.63,-0.046%,0.185%,,,74,0.14%,2.356%
3/7/00,,,1.046,0.45%,6.165%,,,0.634,-0.25%,3.166%,,,43.63,0.000%,0.185%,,,73.9,-0.14%,2.220%
3/8/00,,,1.0443,-0.16%,6.003%,,,0.6307,-0.52%,2.645%,,,43.65,0.046%,0.231%,,,73.65,-0.34%,1.882%
3/9/00,,,1.0326,-1.12%,4.882%,,,0.6323,0.25%,2.899%,,,43.63,-0.046%,0.185%,,,73.65,0.00%,1.882%
3/10/00,,,1.0353,0.26%,5.144%,,,0.6332,0.14%,3.041%,,,43.65,0.046%,0.231%,,,73.8,0.20%,2.086%
3/13/00,,,1.0365,0.12%,5.260%,,,0.6336,0.06%,3.104%,,,43.65,0.000%,0.231%,,,74.05,0.34%,2.425%
3/14/00,,,1.0369,0.04%,5.298%,,,0.6359,0.36%,3.467%,,,43.64,-0.023%,0.208%,,,73.62,-0.58%,1.844%
3/15/00,,,1.0314,-0.53%,4.768%,,,0.6357,-0.03%,3.436%,,,43.65,0.023%,0.231%,,,73.62,0.00%,1.844%
3/16/00,,,1.0299,-0.15%,4.622%,,,0.635,-0.11%,3.326%,,,43.58,-0.160%,0.070%,,,73.64,0.03%,1.871%
3/17/00,,,1.0316,0.17%,4.787%,,,0.6367,0.27%,3.594%,,,43.65,0.161%,0.231%,,,74,0.49%,2.360%
3/20/00,,,1.0299,-0.16%,4.623%,,,0.6375,0.13%,3.719%,,,43.63,-0.046%,0.185%,,,73.9,-0.14%,2.225%
3/21/00,,,1.0306,0.07%,4.691%,,,0.6359,-0.25%,3.468%,,,43.59,-0.092%,0.093%,,,73.75,-0.20%,2.022%
3/22/00,,,1.0408,0.99%,5.680%,,,0.6367,0.13%,3.594%,,,43.65,0.138%,0.231%,,,73.7,-0.07%,1.954%
3/23/00,,,1.0319,-0.86%,4.825%,,,0.6317,-0.79%,2.809%,,,43.65,0.000%,0.231%,,,73.75,0.07%,2.022%
